Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
8383,53.4333,8.8167,SB,100,39,227,26,75,114,216,242
8388,53.4333,8.6167,SB,107,40,216,12,79,119,212,224
8389,53.5333,8.8833,SB,92,24,204,0,80,104,204,204
8390,53.7167,8.7167,SB,94,1,204,0,94,95,204,204
8392,53.4167,8.5833,SB,104,0,212,15,104,104,204,219
8393,53.45,8.6167,SB,96,21,219,29,88,109,203,232
8397,53.65,8.5167,SB,74,0,232,10,74,74,227,237
8400,53.1,7.2167,SB,85,28,218,7,73,101,214,221
8402,52.9667,7.7667,SB,91,19,214,23,79,98,201,224
8403,53,7.3,SB,78,5,208,14,75,80,200,214
8404,52.8667,7.3167,SB,90,23,226,21,77,100,210,231
8407,52.85,7.6667,SB,93,18,219,7,85,103,215,222
8409,52.5333,7.8667,SB,87,13,216,27,80,93,201,228
8411,52.55,7.95,SB,91,54,220,20,55,109,211,231
8412,52.5833,7.7333,SB,86,30,220,20,68,98,209,229
8414,52.5167,7.6833,SB,89,19,217,16,79,98,208,224
8416,52.6667,7.95,SB,95,24,220,32,82,106,206,238
8418,52.4,7.85,SB,91,20,218,22,82,102,205,227
8420,52.4167,7.7333,SB,86,36,222,7,64,100,218,225
8422,52.5333,7.9333,SB,102,40,221,11,75,115,214,225
8424,52.6,6.85,SB,88,28,223,36,74,102,209,245
8425,52.6333,6.7667,SB,93,30,234,39,77,107,204,243
8426,52.3,7.1167,SB,95,19,214,26,84,103,202,228
8429,52.4333,7.0833,SB,106,4,219,0,104,108,219,219
8430,52.2833,7.2833,SB,94,24,220,32,83,107,202,234
8431,52.3167,7.2333,SB,95,23,218,22,81,104,210,232
8433,52.55,6.7333,SB,90,26,220,29,75,101,212,241
8434,52.5167,7.1333,SB,97,26,218,12,85,111,214,226
8438,52.6,7.4333,SB,96,23,219,21,87,110,209,230
8439,52.4833,7.55,SB,91,16,214,0,82,98,214,214
8440,52.5333,7.45,SB,73,29,217,27,62,91,203,230
8442,52.4,7.3,SB,93,25,218,11,80,105,213,224
8443,52.4833,7.4167,SB,85,12,213,0,81,93,213,213
8447,52.2,8.35,SB,95,27,235,33,81,108,216,249
8448,52.2,8.4667,SB,113,0,216,0,113,113,216,216
8452,52.7667,7.5,SB,86,28,220,20,71,99,210,230
8454,52.7833,7.2333,SB,75,56,217,21,52,108,203,224
8455,52.6667,7.4833,SB,81,29,218,12,66,95,211,223
8457,52.3,8.15,SB,96,14,231,0,90,104,231,231
8459,52.25,7.95,SB,95,33,219,36,75,108,199,235
8460,52.2,8.05,SB,104,11,217,4,98,109,215,219
8463,52.2333,7.9667,SB,101,31,228,22,81,112,211,233
8465,52.15,8.05,SB,82,31,227,10,68,99,222,232
